"","subID","gender","age","handedness","english","compType","VisualWM","rtUnder500","rtOver10000","DigitSpan","reloaded","Vocabulary","DigitSymbolCoding"
"2226","36-16227","F",55,"right",1,"desktop",36,0,0,8,1,16,43
"2227","36-16228","F",35,"right",1,"laptop",42,0,0,8,1,18,50
"2228","36-16229","F",38,"right",1,"laptop",32,0,0,7,1,15,57
"2229","36-16231","F",59,"right",0,"laptop",26,0,0,5,1,13,26
"2230","36-16233","F",18,"right",1,"laptop",36,0,0,7,1,16,50
"2231","36-16239","F",49,"left",1,"desktop",38,0,0,8,1,19,51
"2232","36-16243","F",33,"right",1,"laptop",31,0,0,5,1,11,51
"2233","36-16245","F",42,"both",1,"desktop",32,0,0,5,1,10,33
"2234","36-16249","F",29,"right",1,"laptop",38,0,0,10,1,18,49
"2235","36-16251","F",38,"right",1,"laptop",35,0,0,4,1,12,56
"2236","36-16254","F",54,"right",1,"desktop",38,0,0,8,1,17,50
"2237","36-16258","F",28,"right",1,"laptop",35,0,0,7,1,10,33
"2238","36-16259","F",63,"right",1,"desktop",35,0,0,7,1,15,41
"2239","36-1626","M",22,"right",1,"laptop",35,0,0,9,1,19,81
"2240","36-16263","F",45,"right",1,"laptop",25,2,1,5,1,6,36
"2241","36-16264","F",46,"right",1,"laptop",33,0,0,5,1,17,54
"2242","36-16266","M",15,"right",1,"laptop",35,0,0,7,1,15,42
"2243","36-16269","F",14,"right",1,"laptop",33,0,0,6,1,12,47
"2244","36-1627","F",45,"right",1,"desktop",37,0,0,7,1,17,43
"2245","36-16272","F",32,"left",1,"laptop",32,0,0,7,1,18,45
"2246","36-16281","M",32,"right",1,"laptop",30,0,0,6,1,17,47
"2247","36-16283","F",48,"right",1,"laptop",33,0,0,2,1,12,41
"2248","36-16284","F",44,"right",1,"laptop",29,0,0,5,1,18,47
"2249","36-16286","F",42,"right",1,"laptop",39,0,0,4,1,14,55
"2250","36-16287","F",30,"right",0,"laptop",34,0,0,4,1,12,50
"2251","36-16288","F",64,"right",1,"laptop",35,0,0,7,1,19,34
"2252","36-16289","F",60,"right",1,"desktop",36,0,0,7,1,19,39
"2253","36-1629","M",24,"right",0,"laptop",36,0,0,2,1,8,50
"2254","36-16292","F",44,"right",1,"laptop",24,0,0,8,1,14,41
"2255","36-16296","F",24,"right",0,"desktop",37,0,0,5,1,10,44
"2256","36-163","M",26,"right",0,"laptop",37,0,0,6,1,5,40
"2257","36-16300","F",47,"right",1,"desktop",34,0,0,7,1,15,41
"2258","36-16301","F",35,"right",1,"laptop",38,0,0,6,1,15,39
"2259","36-16302","F",49,"right",1,"laptop",33,0,0,5,1,12,38
"2260","36-16303","M",11,"right",1,"laptop",27,0,0,6,1,9,41
"2261","36-16307","F",16,"left",1,"laptop",38,0,0,7,1,10,64
"2262","36-16310","F",30,"right",1,"desktop",34,0,0,6,1,15,48
"2263","36-16311","F",17,"left",1,"laptop",40,0,0,8,1,9,38
"2264","36-16312","M",31,"right",1,"desktop",34,0,0,4,1,11,36
"2265","36-16315","F",44,"right",1,"desktop",32,0,0,8,1,15,44
"2266","36-16319","M",19,"right",1,"laptop",38,0,0,5,1,12,50
"2267","36-16320","F",42,"right",1,"laptop",34,0,0,7,1,18,45
"2268","36-16321","F",69,"right",1,"laptop",28,0,0,5,1,19,40
"2269","36-16323","F",56,"right",1,"desktop",19,1,0,5,1,12,37
"2270","36-16324","F",41,"right",1,"laptop",38,0,0,7,1,16,63
"2271","36-16326","M",32,"right",1,"desktop",31,0,0,7,1,10,50
"2272","36-16329","F",51,"right",1,"laptop",39,0,0,4,1,17,35
"2273","36-16332","F",52,"right",1,"desktop",36,0,0,9,1,8,39
"2274","36-16336","F",32,"left",1,"laptop",39,0,0,5,1,12,51
"2275","36-16339","F",30,"right",1,"laptop",36,0,0,7,1,15,44
"2276","36-16340","F",40,"right",1,"laptop",34,0,0,7,1,15,44
"2277","36-16342","M",30,"right",0,"laptop",37,0,0,10,1,9,49
"2278","36-16344","F",33,"right",0,"laptop",31,0,0,4,1,7,39
"2279","36-16346","F",49,"right",1,"laptop",33,0,0,3,1,14,39
"2280","36-16348","F",28,"right",1,"laptop",37,0,0,7,1,13,55
"2281","36-16349","F",18,"right",1,"laptop",40,0,0,6,1,14,43
"2282","36-16351","F",52,"right",1,"desktop",33,0,0,4,1,19,43
"2283","36-16355","F",42,"right",1,"desktop",33,0,0,6,1,6,46
"2284","36-16358","F",28,"right",0,"laptop",38,0,0,7,1,9,71
"2285","36-16359","F",24,"right",1,"desktop",35,0,0,6,1,14,48
"2286","36-16363","F",34,"right",1,"laptop",30,0,0,4,1,7,33
"2287","36-16367","F",57,"right",1,"desktop",32,0,0,9,1,20,34
"2288","36-16371","F",24,"right",1,"laptop",29,0,0,6,1,13,39
"2289","36-1638","M",45,"right",1,"laptop",32,0,0,5,1,14,24
"2290","36-16380","F",18,"right",1,"laptop",35,0,0,7,1,12,44
"2291","36-16384","F",53,"right",1,"desktop",35,0,1,5,1,17,48
"2292","36-1639","F",22,"right",0,"laptop",33,0,0,7,1,3,47
"2293","36-16394","F",57,"right",1,"laptop",34,0,0,5,1,18,41
"2294","36-16397","F",29,"right",1,"laptop",37,0,0,7,1,17,54
"2295","36-1640","M",30,"right",0,"desktop",42,0,0,7,1,7,49
"2296","36-16402","F",15,"right",1,"laptop",36,0,0,3,1,11,45
"2297","36-16404","F",35,"right",0,"laptop",32,0,0,6,1,9,56
"2298","36-16405","F",44,"right",1,"desktop",36,0,0,8,1,14,46
"2299","36-16408","F",60,"right",1,"laptop",33,0,0,8,1,18,31
"2300","36-16410","F",57,"right",1,"desktop",31,1,0,8,1,16,47
"2301","36-16412","F",49,"right",1,"laptop",40,0,0,6,1,16,53
"2302","36-16414","F",25,"right",0,"laptop",34,0,0,3,1,4,52
"2303","36-16419","M",21,"right",0,"laptop",40,0,0,7,1,11,67
"2304","36-1642","M",24,"right",1,"laptop",35,0,0,7,1,13,47
"2305","36-16423","F",50,"left",1,"desktop",33,0,0,6,1,18,49
"2306","36-16424","M",19,"right",1,"laptop",36,0,0,8,1,12,51
"2307","36-16425","F",35,"right",1,"laptop",37,0,0,7,1,19,54
"2308","36-16429","F",44,"right",1,"laptop",40,0,0,7,1,17,50
"2309","36-16431","F",43,"right",1,"desktop",37,0,0,5,1,14,35
